,Bassin_emploi,Compagny,Contrat,Date,Date_scrap,Location,Poste,Resume,Salary,_id
4050,Ile-de-France,Cooptalis,Stage,,"12/03/2019, 09:31:47",er,Dev,"CDIDans un marché du travail qui se mondialise, où la pénurie de talents est un challenge permanent pour les entreprises, où les individus sont plus mobiles et attirés par une expérience d'expatriation, Cooptalis se positionne comme un intermédiaire privilégié en mobilité internationale.Pour nous, le talent n'a pas de frontière.
Vous êtes ingénieur informatique ? Vous rêvez d’une expérience internationale ? Recherchez votre emploi rêvé au-delà des frontières !
Vous bénéficierez d’un accompagnement de proximité dans votre projet de mobilité vers le Québec grâce à une équipe experte et dédiée basée en France et au Canada.

Missions

Pour des Entreprises de Services du Numérique (ESN) basées au Canada, Cooptalis recherche des Concepteurs-Développeurs C# /.Net (H/F).
En tant que Concepteur-Développeur vos missions seront les suivantes :

Recueillir et analyser le besoin,
Rédiger les spécifications fonctionnelles et techniques,
Concevoir et réaliser les développements,
Gérer les différentes phases de tests et recette,
Maintenir les environnements de développement et d'intégration,
Rédiger et gérer des livrables,
Maintenir les applications et suivre les évolutions.

Cette description prend en compte les principales responsabilités ; elle est variable selon les projets et n’est pas limitative

Profil

Votre projet d’expatriation au Canada est réfléchi et/ou avancé.
De formation Bac +2, vous avez une expérience de 3 années minimum au cours de laquelle vous avez acquis la maîtrise de tout ou partie des domaines techniques suivants :

C#, .NET, WinForms, WPF, WCF, TFS
Bases de données : MySQL, Oracle, SQL Server, PostGreSQL
Architecture logicielle : MVVM, MVC, 3 tiers, SOA.
Méthodologie : Agile (SCRUM)

Passionné(e) et force de proposition, vous êtes reconnu(e) pour votre capacité à évoluer au sein d'une équipe et autour de projets communs. Déterminé(e), vous avez une forte capacité d’adaptation et vous êtes capable de vous intégrer très rapidement dans un nouvel environnement.

Langues : Français courant, Anglais professionnel",,5c876e7362669d0f8409a314
4051,nantes,Amaris,CDI,,"12/03/2019, 09:31:47",nantes,Dev,"Description du poste
Pour accompagner notre croissance, nous recherchons des Ingénieurs Etude et Développement .NET dans les domaines de l’informatique industrielle, de gestion et bancaire.
Vous travaillerez pour des clients finaux exigeants dans des secteurs d’activités fonctionnellement riches et complexes. Au sein de l’équipe que vous rejoindrez, vous interviendrez sur l’ensemble du cycle de vie des projets de nos clients depuis les phases amont de conseil/conception, jusqu’au déploiement.

En tant qu’ingénieur études et développement, vous aurez notamment à intervenir sur:

 La compréhension des besoins métier et l’analyse fonctionnelle.
 La conception, le développement et l’intégration des applications.
 La rédaction des différentes documentations associées.
 Le test de l’application et le traitement des dysfonctionnements éventuels.
 Le respect des méthodologies et des processus de développement.
 La mise en place des bonnes pratiques d’utilisation et de développement.
 La formation de l’utilisateur pour la prise en main de l’application.

Profil du Candidat
Titulaire d’un diplôme d’ingénieur ou universitaire équivalent (BAC+5), vous justifiez d’une expérience significative d’au moins 5 ans dans le développement informatique via le langage de programmation .NET.
Vous connaissez l’environnement .NET : C#, WPF, ASP.NET, Entity Framework.
Aimant relever des challenges au quotidien, vous savez travailler en autonomie et être force de proposition auprès de vos interlocuteurs afin d’apporter une valeur ajoutée à vos projets.
Votre sen relationnel et votre goût du contact client sont des qualités essentielles pour réussir à ce poste. De plus, vous souhaitez vous impliquer dans le développement d’une société en pleine expansion.
Vous êtes mobile dans la région de : Nantes
Information pratique
Date: Immédiatement
Lieu : Nantes

Comment postuler
apply-france@amaris.com",,5c876e7362669d0f8409a315
4052,Ile-de-France,Bioserenity,CDI,,"12/03/2019, 09:31:47",paris,Data Engineer,"60 000 € par anRécapitulatif du posteJeune startup dans le domaine du vêtement connecté appliqué à la médecine, nous sommes en phase de mise sur le marché de nos premier produit BioSerenity : des vêtement intelligents permettant le diagnostic en cardiologie et en neurologie.Nous travaillons également à la conception de nouveaux produits. L’équipe est composée d’une centaine de personnes (Ingénieurs, Designers, Développeurs). Nos locaux sont dans le 13ème arrondissement de Paris (Station F et Pitié-Sélpétrière). L’environnement est jeune, dynamique et innovant. Nous avons levé 15 M€ à l'été 2017, ce qui nous donne les moyens de nos ambitions.Nous recherchons un ingénieur électronique hardware expérimenté pour piloter le développement de nouveaux projets.www.bioserenity.comResponsabilités et missionsMission : Conception de système électronique pour vêtement connecté (lead technique)Profil : ingénieur en électronique, 5 à 15 ans d’expérienceVotre mission sera de piloter le développement des cartes électroniques pour vêtement connecté, sur les technologies suivantes :Electronique analogique (filtrage, acquisition faible signaux, CEM)MicrocontrôleurLiens RF (Wifi, Bluetooth, LoRa, …)Intégration système avec le vêtement, CEM, mécaniqueQualification et transfert en fabCette mission inclut entre autres :La recherche et sélection de composants selon les critères appropriésLa rédaction documentaire (cycle en V)Le suivi des schémas, du placement et du routageL’intégration, le debugLa rédaction et le passage des plans de qualificationLa conception de banc de testVous travaillerez en collaboration avec des ingénieurs plus juniors que vous piloterez pour mener ces tâches à bien.Ces travaux seront menés avec une équipe pluridisciplinaire composée de développeurs logiciel, mécanique et textile, qualiticiens, médecins.Qualifications et compétencesDe formation ingénieur en électronique vous êtes polyvalent, pragmatique et curieux.Vous maitrisez le design de cartes, l’intégration, et le transfert en production.Vous êtes capable de prendre en main un projet et de piloter les différents intervenants techniques (ingénieur carte, sous-traitants, etc...).Vous avez un goût prononcé pour les projets regroupant des techniques variées (électronique, traitement de signal, mécanique, biomédical) et le travail en équipe.Au moins 5 ans d’expérience en conception de cartes et systèmes électroniques sont requis.Des compétences en programmation bas niveau (Linux, microcontrôleur) et/ou en traitement de signal (Matlab) sont également souhaitables.Si vous souhaitez vous investir sur un projet innovant (IoT, wearables, médecine connectée), au sein d’une équipe pluridisciplinaire, BioSerenity vous offre l’opportunité de vous épanouir dans un esprit startup, alliant performance et convivialité.AvantagesSecteur : Equipement médicalFonction : Ingénieur confirmé en électroniqueDémarrage : ASAPExpérience souhaitée : développement électronique / hardware, 5 ans minimumType de contrat : CDILocalisation : Paris (75013)Rémunération : autour de 60k€ selon expérienceParticipation en action au capital de la sociétéType d'emploi : Temps plein, CDISalaire : 50 000,00€ à 70 000,00€ /anType d'emploi : Temps pleinSalaire : 60 000,00€ /anExpérience:conception électronique: 4 ans (Requis)Formation:Bac +5 (Master / MBA) (Souhaité)",60000,5c876e7462669d0f8409a316
4053,bordeaux,CELAD,CDI,10/02/2019,"12/03/2019, 09:31:56",bordeaux,Dev,,,5c876e7c62669d0f8409a317
4054,bordeaux,EXTERNATIC,CDI,10/02/2019,"12/03/2019, 09:31:57",bordeaux,Dev,,,5c876e7d62669d0f8409a318
4055,bordeaux,KEYRUS,CDI,10/02/2019,"12/03/2019, 09:31:58",bordeaux,Dev,,,5c876e7e62669d0f8409a319
4056,bordeaux,Intuitive Surgical,CDI,,"12/03/2019, 09:31:59",bordeaux,Dev,,,5c876e7f62669d0f8409a31a
4057,bordeaux,Urban Linker,CDI,09/03/2019,"12/03/2019, 09:32:00",bordeaux,Dev,,45500.0,5c876e8062669d0f8409a31b
4058,bordeaux,EUROFEU Services,CDI,10/02/2019,"12/03/2019, 09:32:01",bordeaux,Dev,,,5c876e8162669d0f8409a31c
4059,bordeaux,Data Recrutement,CDI,10/02/2019,"12/03/2019, 09:32:02",bordeaux,Dev,,37500.0,5c876e8262669d0f8409a31d
4060,Ile-de-France,Orange,CDI,,"12/03/2019, 09:32:03",pessac,Dev,,,5c876e8362669d0f8409a31e
4061,bordeaux,Groupe Compagnie Fiduciaire,CDI,10/02/2019,"12/03/2019, 09:32:04",bordeaux,Dev,,,5c876e8462669d0f8409a31f
4062,bordeaux,Keyrus,CDI,10/02/2019,"12/03/2019, 09:32:06",bordeaux,Dev,,,5c876e8662669d0f8409a320
4063,Ile-de-France,Prosodie,CDI,,"12/03/2019, 09:32:08",baillargues,Dev,,,5c876e8862669d0f8409a321
4064,Ile-de-France,SEPTEO,CDI,10/02/2019,"12/03/2019, 09:32:13",lattes,Dev,,,5c876e8d62669d0f8409a322
4065,Ile-de-France,SEPTEO,CDI,10/02/2019,"12/03/2019, 09:32:15",lattes,Dev,,,5c876e8f62669d0f8409a323
4066,lyon,Bandai Namco Entertainment,CDI,10/02/2019,"12/03/2019, 09:32:18",lyon,Dev,,,5c876e9262669d0f8409a324
4067,Ile-de-France,EUROPEAN HOMES,CDI,10/02/2019,"12/03/2019, 09:32:20",er,Dev,,,5c876e9462669d0f8409a325
4068,Ile-de-France,Dappsnation,CDI,10/02/2019,"12/03/2019, 09:32:21",er,Dev,,,5c876e9562669d0f8409a326
4069,Ile-de-France,Numberly,CDI,10/02/2019,"12/03/2019, 09:32:22",e,Data Scientist,,,5c876e9662669d0f8409a327
4070,Ile-de-France,onepoint,CDI,10/02/2019,"12/03/2019, 09:32:23",erdre,Dev,,,5c876e9762669d0f8409a328
4071,lyon,Dawan,CDI,,"12/03/2019, 09:32:23",lyon,Dev,,,5c876e9762669d0f8409a329
4072,Ile-de-France,L'AgenceRP,CDI,08/03/2019,"12/03/2019, 09:32:24",paris,Data Analyst,,,5c876e9862669d0f8409a32a
4073,Ile-de-France,ALTIMIS GROUP,CDI,10/02/2019,"12/03/2019, 09:32:25",e,Dev,,,5c876e9962669d0f8409a32b
4074,nantes,Page Personnel FR,CDI,10/02/2019,"12/03/2019, 09:32:25",nantes,Dev,,,5c876e9962669d0f8409a32c
4075,Ile-de-France,Natixis,CDI,08/03/2019,"12/03/2019, 09:32:26",paris,Data Engineer,,,5c876e9a62669d0f8409a32d
4076,lyon,FREELANCE VISION,CDI,10/02/2019,"12/03/2019, 09:32:27",lyon,Dev,,,5c876e9b62669d0f8409a32e
4077,nantes,KEYRUS,CDI,10/02/2019,"12/03/2019, 09:32:27",nantes,Data Engineer,,,5c876e9b62669d0f8409a32f
4078,Ile-de-France,Ubisoft,CDI,10/02/2019,"12/03/2019, 09:32:28",Seine-Saint-Denis 93,Dev,,,5c876e9d62669d0f8409a330
4079,nantes,Silkhom,CDI,10/02/2019,"12/03/2019, 09:32:29",nantes,Dev,,,5c876e9d62669d0f8409a331
4080,Ile-de-France,EASYLIFE,CDI,12/03/2019,"12/03/2019, 09:32:29",e,Dev,,,5c876e9d62669d0f8409a332
4081,Ile-de-France,VEF FACILITIES IDF TERTIAIRE,CDI,11/03/2019,"12/03/2019, 09:32:30",Hauts-de-Seine 92,Dev,,,5c876e9e62669d0f8409a333
4082,nantes,OUI.sncf,CDI,10/02/2019,"12/03/2019, 09:32:31",nantes,Dev,,,5c876e9f62669d0f8409a334
4083,lyon,Micropole,CDI,10/02/2019,"12/03/2019, 09:32:31",lyon,Data Scientist,,,5c876e9f62669d0f8409a335
4084,Ile-de-France,La relève,CDI,10/02/2019,"12/03/2019, 09:32:33",paris,Dev,,,5c876ea162669d0f8409a336
4085,nantes,E3M MANAGEMENT,CDI,05/03/2019,"12/03/2019, 09:32:33",nantes,Dev,,,5c876ea162669d0f8409a337
4086,Ile-de-France,opensourcing,CDI,11/03/2019,"12/03/2019, 09:32:33",villeurbanne,Dev,,,5c876ea162669d0f8409a338
4087,Ile-de-France,Air Liquide,CDI,10/02/2019,"12/03/2019, 09:32:34",paris,Data Scientist,,,5c876ea262669d0f8409a339
4088,nantes,Talend,CDI,10/02/2019,"12/03/2019, 09:32:35",nantes,Dev,,,5c876ea362669d0f8409a33a
4089,Ile-de-France,DELANE SI,CDI,10/02/2019,"12/03/2019, 09:32:35",e,Dev,,,5c876ea362669d0f8409a33b
4090,Ile-de-France,PRO BTP GROUPE,CDI,,"12/03/2019, 09:32:36",Val de Marne 94,Dev,,,5c876ea462669d0f8409a33c
4091,nantes,Seyos,CDI,10/02/2019,"12/03/2019, 09:32:38",nantes,Dev,,40000.0,5c876ea662669d0f8409a33d
4092,Ile-de-France,Evaneos,CDI,10/02/2019,"12/03/2019, 09:32:38",paris,Dev,,,5c876ea762669d0f8409a33e
4093,Ile-de-France,Manpower,CDI,10/02/2019,"12/03/2019, 09:32:39",erdre,Dev,,,5c876ea762669d0f8409a33f
4094,Ile-de-France,KARAVEL,CDI,10/02/2019,"12/03/2019, 09:32:40",e,Data Scientist,,,5c876ea862669d0f8409a340
4095,nantes,ISATECH,CDI,10/02/2019,"12/03/2019, 09:32:40",nantes,Dev,,,5c876ea862669d0f8409a341
4096,Ile-de-France,Cooptalis,Stage,,"12/03/2019, 09:32:43",er,Dev,"CDIDans un marché du travail qui se mondialise, où la pénurie de talents est un challenge permanent pour les entreprises, où les individus sont plus mobiles et attirés par une expérience d'expatriation, Cooptalis se positionne comme un intermédiaire privilégié en mobilité internationale.
Pour nous, le talent n'a pas de frontière.

Cooptalis donne vie aux projets de mobilité internationale en réunissant candidats et entreprises partout à travers le monde.

Vous avez un projet d'expatriation ? Cooptalis peut vous accompagner !

Cooptalis recherche des CONCEPTEURS-DEVELOPPEURS DOT NET FULLSTACK (H/F) pour des Entreprises de Services du Numérique (ESN) françaises.

Missions :
Vous évoluerez au sein des équipes au savoir-faire reconnu sur des projets pour des clients grands comptes. Au contact direct des utilisateurs et grands donneurs d'ordres de vos clients, vous serez positionné(e) sur des sujets technologiques innovants et à forte valeur ajoutée. En tant qu’Ingénieur Etudes et Développement, vos missions seront les suivantes :

Analyser les besoins du client,
Participer à la conception technique et fonctionnelle,
Participer à l'architecture et au développement des modules,
Prendre en charge les tests et l'intégration des modules développés.
Rédiger et gérer des livrables,
Maintenir les applications et suivre les évolutions.

Cette liste descriptive de missions n’étant pas limitative.

Profil :
De formation Bac +5, vous justifiez de 3 ans minimum d’expérience en tant que développeur. Vous avez de bonnes connaissances techniques de :

C#, ASP.Net MVC • Angular 2 et 4
Méthodologie Agile (Scrum)

Passionné (e) et force de proposition, vous êtes reconnu(e) pour votre capacité à évoluer au sein d'une équipe et autour de projets communs. Déterminé (e), vous avez une forte capacité d’adaptation et vous êtes capable de vous intégrer très rapidement dans un nouvel environnement.

Langues : Français courant, anglais technique",,5c876eab62669d0f8409a342
4097,Ile-de-France,Uptoo,Stage,,"12/03/2019, 09:32:46",paris,Data Engineer,"À PROPOS :

Vous avez envie de rejoindre une société avec un véritable esprit familial et en perpétuelle recherche d'excellence ? Nous sommes spécialisés dans l'installation de tuyauteries industrielles et pouvons vous offrir ce cadre de travail !

Notre savoir-faire est reconnu et nous avons largement participé au développement de l'utilisation des matériaux composites dans l'industrie pétrolière et nucléaire. Nous nous positionnons aujourd'hui parmi les premières entreprises de service en Europe dans notre secteur d'activité.

Nous aimerions compter sur un nouveau collaborateur pour nous aider à adresser de nouveaux marchés, tel que les réseaux de chauffage urbain, et nous recherchons dans ce cadre un Ingénieur Commercial pour rejoindre cet environnement ambitieux et dynamique.

LES MISSIONS :

En lien direct avec le Directeur Général, vous aurez pour mission de :
Identifier les prospects et les projets sur lesquels nos technologies peuvent s'adapter,Construire un plan de prospection et définir les cibles prioritaires,Vous positionner sur les Appels d'Offres (publics et privés) par le biais de vos interlocuteurs,Comprendre les besoins du client et être capable de réaliser un diagnostic précis de ses enjeux,Assurer le développement des ventes des produits et des services sur son secteur chez les clients existants,Conseiller les clients à l'utilisation des produits et services.

LE PROFIL RECHERCHÉ :

Vous avez l'esprit de conquête et de la fidélisation client ? Vous êtes intéressé(e) par l'univers du chauffage urbain, de la climatisation et de la géothermie (réseaux enterrés) ? N'hésitez plus, votre profil nous intéresse !

Vous pouvez valorisez au moins une première expérience commerciale réussie de minimum ⅘ ans, dans un environnement technique. Vous savez vendre en cycle de vente long et vous êtes un vrai chef d'orchestre pour mener à bien un projet en interne afin de pouvoir le délivrer chez le client.

Nous vous offrons le cadre, la formation et les outils nécessaires pour prendre du plaisir au sein de notre environnement (Bureau d'Etudes et techniciens interne).

Votre tempérament commercial de développeur affirmé, votre bonne capacité à créer du lien et à entretenir des partenariats sur le long terme seront les clés de votre réussite chez nous.

Nous recherchons des talents avec l'envie d'apprendre, de travailler de façon saine, en équipe, et qui soient capables de fournir les efforts nécessaires pour participer à la recherche d'excellence de notre société.

Poste en home office avec un passage au minimum 1 fois tous les 15 jours au siège basé dans l'Yonne (89).

LES AVANTAGES :

Package attractif composé d'un fixe et d'un variable déplafonné.
Un véhicule de fonction.
Avantages : PC, téléphone, carte business et carte essence.

Référence: UPTN11486",,5c876eae62669d0f8409a343
4098,bordeaux,iD Systèmes,CDI,,"12/03/2019, 09:32:47",bordeaux,Dev,,,5c876eaf62669d0f8409a344
4099,bordeaux,Groupe SII,CDI,10/02/2019,"12/03/2019, 09:32:49",bordeaux,Data Engineer,,,5c876eb162669d0f8409a345
4100,Ile-de-France,FAYAT IT,CDI,10/02/2019,"12/03/2019, 09:32:51",floirac,Dev,,,5c876eb362669d0f8409a346
4101,Ile-de-France,SEPTEO,CDI,10/02/2019,"12/03/2019, 09:32:51",lattes,Dev,,,5c876eb362669d0f8409a347
4102,bordeaux,ACTIVUS Group,CDI,10/02/2019,"12/03/2019, 09:32:52",bordeaux,Dev,,,5c876eb462669d0f8409a348
4103,bordeaux,NEO SOFT SERVICES,CDI,10/02/2019,"12/03/2019, 09:32:54",bordeaux,Data Engineer,,,5c876eb662669d0f8409a349
4104,Ile-de-France,Inria,CDI,08/03/2019,"12/03/2019, 09:32:55",talence,Dev,,,5c876eb762669d0f8409a34a
4105,bordeaux,Handyrecrut,CDI,10/02/2019,"12/03/2019, 09:32:57",bordeaux,Dev,,,5c876eb962669d0f8409a34b
4106,bordeaux,Caroff,CDI,10/02/2019,"12/03/2019, 09:32:58",bordeaux,Dev,,41000.0,5c876eba62669d0f8409a34c
4107,Ile-de-France,L'AgenceRP,CDI,09/03/2019,"12/03/2019, 09:32:59",cestas,Data Engineer,,,5c876ebb62669d0f8409a34d
4108,Ile-de-France,Eotim,CDI,10/02/2019,"12/03/2019, 09:33:01",pessac,Dev,,,5c876ebd62669d0f8409a34e
4109,lyon,Almatek,CDI,10/02/2019,"12/03/2019, 09:33:14",lyon,Dev,,,5c876eca62669d0f8409a34f
4110,lyon,Tech Soft 3D,CDI,10/02/2019,"12/03/2019, 09:33:16",lyon,Dev,,,5c876ecc62669d0f8409a350
4111,lyon,Keyrus,CDI,10/02/2019,"12/03/2019, 09:33:16",lyon,Dev,,,5c876ecc62669d0f8409a351
4112,lyon,Wind Mobility,CDI,10/02/2019,"12/03/2019, 09:33:17",lyon,Dev,,,5c876ecd62669d0f8409a352
4113,lyon,Volvo Group,CDI,10/02/2019,"12/03/2019, 09:33:18",lyon,Dev,,,5c876ece62669d0f8409a353
4114,Ile-de-France,Oliver Wyman,CDI,09/03/2019,"12/03/2019, 09:33:19",paris,Data Analyst,,,5c876ecf62669d0f8409a354
4115,nantes,Seyos,CDI,10/02/2019,"12/03/2019, 09:33:20",nantes,Dev,,35000.0,5c876ed062669d0f8409a355
4116,Ile-de-France,ACTA,CDI,10/03/2019,"12/03/2019, 09:33:21",limonest,Dev,,,5c876ed162669d0f8409a356
4117,Ile-de-France,Shift Technology,CDI,10/02/2019,"12/03/2019, 09:33:21",paris,Data Scientist,,,5c876ed262669d0f8409a357
4118,nantes,EXTERNATIC,CDI,10/02/2019,"12/03/2019, 09:33:22",nantes,Dev,,,5c876ed262669d0f8409a358
4119,Ile-de-France,POLYMONT IT SERVICES,CDI,08/03/2019,"12/03/2019, 09:33:23",e,Dev,,39500.0,5c876ed362669d0f8409a359
4120,Ile-de-France,Margo Conseil,CDI,,"12/03/2019, 09:33:23",paris,Data Engineer,,,5c876ed362669d0f8409a35a
4121,nantes,Altran,CDI,10/02/2019,"12/03/2019, 09:33:23",nantes,Dev,,,5c876ed462669d0f8409a35b
4122,Ile-de-France,HDTechnology,CDI,10/02/2019,"12/03/2019, 09:33:25",bron,Dev,,,5c876ed562669d0f8409a35c
4123,Ile-de-France,ANALYSE INFORMATIQUE DE DONNEES,CDI,10/02/2019,"12/03/2019, 09:33:25",e,Data Engineer,,,5c876ed562669d0f8409a35d
4124,Ile-de-France,Seyos,CDI,11/03/2019,"12/03/2019, 09:33:26",loire,Dev,,28000.0,5c876ed662669d0f8409a35e
4125,Ile-de-France,HAVANA IT &APPS,CDI,10/02/2019,"12/03/2019, 09:33:27",e,Dev,,,5c876ed762669d0f8409a35f
4126,Ile-de-France,PSAPeugeotCitroen,CDI,,"12/03/2019, 09:33:28",Yvelines 78,Data Scientist,,,5c876ed862669d0f8409a360
4127,nantes,Fortil,CDI,,"12/03/2019, 09:33:28",nantes,Data Engineer,,,5c876ed862669d0f8409a361
4128,lyon,STORMSHIELD,CDI,09/03/2019,"12/03/2019, 09:33:29",lyon,Data Engineer,,,5c876ed962669d0f8409a362
4129,Ile-de-France,Altelis,CDI,10/02/2019,"12/03/2019, 09:33:29",Hauts-de-Seine 92,Dev,,,5c876ed962669d0f8409a363
4130,nantes,Eurofins France,CDI,10/02/2019,"12/03/2019, 09:33:30",nantes,Dev,,,5c876eda62669d0f8409a364
4131,Ile-de-France,Natixis,CDI,08/03/2019,"12/03/2019, 09:33:31",paris,Data Engineer,,,5c876edb62669d0f8409a365
4132,nantes,Assistra,CDI,10/02/2019,"12/03/2019, 09:33:32",nantes,Dev,,46000.0,5c876edc62669d0f8409a366
4133,Ile-de-France,ALSTOM,CDI,10/02/2019,"12/03/2019, 09:33:33",seine,Dev,,,5c876edd62669d0f8409a367
4134,nantes,Seyos,CDI,10/02/2019,"12/03/2019, 09:33:34",nantes,Dev,,50000.0,5c876ede62669d0f8409a368
4135,Ile-de-France,24 Sèvres,CDI,10/02/2019,"12/03/2019, 09:33:35",paris,Dev,,,5c876edf62669d0f8409a369
4136,nantes,CGI,CDI,10/02/2019,"12/03/2019, 09:33:36",nantes,Dev,,,5c876ee062669d0f8409a36a
4137,Ile-de-France,L'AgenceRP,CDI,08/03/2019,"12/03/2019, 09:33:36",paris,Dev,,,5c876ee062669d0f8409a36b
4138,nantes,EXTERNATIC,CDI,10/02/2019,"12/03/2019, 09:33:38",nantes,Dev,,,5c876ee262669d0f8409a36c
4139,Ile-de-France,Medincell,CDI,10/02/2019,"12/03/2019, 09:33:39",jacou,Dev,,,5c876ee362669d0f8409a36d
4140,Ile-de-France,SEPTEO,CDI,10/02/2019,"12/03/2019, 09:33:42",lattes,Dev,,,5c876ee662669d0f8409a36e
4141,bordeaux,T&S ENG,CDI,10/02/2019,"12/03/2019, 09:33:43",bordeaux,Data Engineer,,,5c876ee762669d0f8409a36f
